iter	MultiClass
0	1.073938655
1	1.052228673
2	1.033743159
3	1.015775063
4	1.000135351
5	0.9859012211
6	0.9725860438
7	0.9606400005
8	0.9495177613
9	0.9393623732
10	0.930054563
11	0.9218373004
12	0.9140935806
13	0.9072716292
14	0.9007758615
15	0.8947313686
16	0.8890389977
17	0.8837249145
18	0.8788880839
19	0.8741464707
20	0.8704122828
21	0.8662815104
22	0.8624317619
23	0.8588898986
24	0.8553634952
25	0.8522109248
26	0.8492241564
27	0.8464920406
28	0.8437603513
29	0.8410991634
30	0.8387099518
31	0.8368629084
32	0.8347005197
33	0.8327893894
34	0.8308055831
35	0.8293307055
36	0.8279966319
37	0.8263503619
38	0.824829261
39	0.8234048648
40	0.8223240067
41	0.8209533559
42	0.819645698
43	0.8184712845
44	0.8171867375
45	0.8161496358
46	0.8150813584
47	0.814220043
48	0.8134998509
49	0.8125471705
50	0.8116451871
51	0.8110714452
52	0.8102275851
53	0.8095847728
54	0.8086569796
55	0.8077715262
56	0.8071522904
57	0.8066723683
58	0.8062098748
59	0.8057924651
60	0.8050742627
61	0.8044403939
62	0.8037589433
63	0.8031420653
64	0.802707054
65	0.8023788886
66	0.8017960762
67	0.8012061599
68	0.8007041822
69	0.8004031488
70	0.7998816365
71	0.7993291637
72	0.798809361
73	0.7983994089
74	0.7979313875
75	0.7974381334
76	0.7969486067
77	0.796614213
78	0.7962755856
79	0.7959844403
80	0.7955603411
81	0.7952498371
82	0.7948224846
83	0.7944926278
84	0.7941657498
85	0.793885464
86	0.7936666369
87	0.793443324
88	0.7930692749
89	0.7927571674
90	0.7925204113
91	0.7921246641
92	0.7918173809
93	0.7915575011
94	0.7913685194
95	0.7910541099
96	0.7905689435
97	0.7904211304
98	0.7900175837
99	0.78965494
100	0.789422604
101	0.7892344782
102	0.7887872193
103	0.7883979011
104	0.7880631829
105	0.7878562283
106	0.7876374177
107	0.7873767356
108	0.7871843369
109	0.7868276508
110	0.7866571601
111	0.7864065315
112	0.7861932642
113	0.7859778526
114	0.7857043452
115	0.7854369825
116	0.7850634965
117	0.7847768028
118	0.7846420099
119	0.7843813976
120	0.7841922982
121	0.7838175325
122	0.7835590065
123	0.7833403057
124	0.7831039629
125	0.782850904
126	0.7826499767
127	0.7825124737
128	0.7822886153
129	0.7821470588
130	0.7819333988
131	0.7817357342
132	0.7815041105
133	0.7813187327
134	0.7810948159
135	0.7808789009
136	0.7806723845
137	0.7804082716
138	0.780101775
139	0.7798358715
140	0.7796870676
141	0.7793614738
142	0.7791439977
143	0.7788054245
144	0.778586837
145	0.7784485829
146	0.7781990775
147	0.777951641
148	0.7777364606
149	0.7775404583
150	0.77717092
151	0.7769752166
152	0.7766262861
153	0.7764561513
154	0.7760787615
155	0.7759537273
156	0.7757718104
157	0.77558155
158	0.7753789544
159	0.7750276024
160	0.774703466
161	0.7745531422
162	0.7742830649
163	0.774032106
164	0.7737859988
165	0.773422265
166	0.7731158852
167	0.7729579104
168	0.7726347703
169	0.7722274243
170	0.7719847969
171	0.7718001203
172	0.7716052503
173	0.7713475485
174	0.771117452
175	0.7709812884
176	0.7705916843
177	0.7703285611
178	0.770088118
179	0.7697971717
180	0.7695528288
181	0.7693434564
182	0.7691235763
183	0.7689668626
184	0.7686964428
185	0.7684105019
186	0.7682439366
187	0.7680211466
188	0.7677905054
189	0.7676163731
190	0.7673810548
191	0.7671126079
192	0.7668307544
193	0.7666075018
194	0.7664168357
195	0.7662923856
196	0.7660631219
197	0.7658015079
198	0.7656324802
199	0.7654130876
