iter	Passed	Remaining
0	12	12577
1	23	11933
2	35	11891
3	46	11589
4	56	11265
5	67	11140
6	76	10918
7	87	10871
8	98	10833
9	108	10723
10	118	10676
11	129	10676
12	140	10636
13	150	10583
14	159	10471
15	169	10444
16	179	10385
17	189	10339
18	200	10328
19	210	10311
20	221	10341
21	232	10356
22	244	10397
23	255	10370
24	265	10362
25	275	10311
26	285	10302
27	295	10264
28	305	10220
29	315	10210
30	326	10195
31	335	10152
32	346	10157
33	356	10121
34	366	10097
35	376	10070
36	385	10022
37	395	10009
38	405	9982
39	416	9987
40	426	9969
41	435	9933
42	445	9907
43	454	9878
44	463	9845
45	473	9829
46	483	9797
47	494	9805
48	505	9806
49	514	9782
50	525	9779
51	535	9754
52	545	9739
53	554	9716
54	564	9691
55	574	9677
56	583	9651
57	593	9637
58	603	9629
59	614	9622
60	624	9608
61	633	9591
62	644	9580
63	653	9559
64	664	9554
65	675	9561
66	687	9571
67	698	9566
68	707	9549
69	718	9541
70	728	9530
71	739	9532
72	750	9530
73	760	9510
74	770	9497
75	779	9480
76	791	9483
77	800	9467
78	810	9452
79	821	9451
80	830	9424
81	840	9412
82	851	9407
83	860	9381
84	870	9371
85	880	9354
86	890	9341
87	900	9332
88	910	9318
89	920	9307
90	930	9295
91	941	9291
92	952	9291
93	962	9272
94	972	9260
95	981	9246
96	991	9228
97	1001	9218
98	1011	9203
99	1021	9189
100	1030	9174
101	1040	9163
102	1050	9147
103	1059	9127
104	1069	9119
105	1080	9116
106	1090	9101
107	1099	9084
108	1108	9064
109	1118	9053
110	1128	9041
111	1138	9023
112	1147	9009
113	1158	9003
114	1167	8986
115	1177	8971
116	1186	8956
117	1196	8944
118	1207	8938
119	1217	8929
120	1228	8926
121	1238	8911
122	1248	8901
123	1258	8891
124	1268	8879
125	1278	8868
126	1287	8850
127	1297	8836
128	1307	8825
129	1316	8810
130	1326	8802
131	1336	8787
132	1346	8779
133	1357	8770
134	1366	8758
135	1377	8752
136	1387	8738
137	1397	8726
138	1406	8711
139	1415	8692
140	1424	8680
141	1434	8667
142	1444	8655
143	1453	8641
144	1467	8650
145	1478	8648
146	1488	8638
147	1498	8624
148	1508	8613
149	1518	8603
150	1527	8589
151	1536	8573
152	1545	8555
153	1555	8543
154	1565	8535
155	1575	8524
156	1585	8513
157	1595	8500
158	1604	8487
159	1614	8475
160	1623	8459
161	1634	8456
162	1644	8442
163	1653	8428
164	1662	8415
165	1673	8407
166	1683	8399
167	1692	8384
168	1702	8373
169	1712	8361
170	1722	8351
171	1732	8340
172	1741	8326
173	1751	8315
174	1761	8304
175	1772	8299
176	1783	8291
177	1792	8279
178	1802	8266
179	1812	8257
180	1822	8247
181	1832	8237
182	1842	8224
183	1851	8212
184	1862	8204
185	1871	8191
186	1881	8178
187	1891	8171
188	1901	8160
189	1911	8147
190	1920	8135
191	1930	8123
192	1939	8109
193	1949	8099
194	1959	8088
195	1968	8075
196	1978	8066
197	1988	8054
198	1998	8046
199	2008	8033
200	2019	8028
201	2044	8075
202	2066	8114
203	2083	8129
204	2095	8124
205	2111	8137
206	2124	8137
207	2135	8129
208	2145	8119
209	2155	8108
210	2166	8100
211	2176	8090
212	2187	8082
213	2197	8072
214	2207	8059
215	2216	8043
216	2226	8035
217	2235	8020
218	2245	8009
219	2255	7997
220	2265	7985
221	2275	7973
222	2284	7960
223	2296	7956
224	2306	7944
225	2316	7933
226	2326	7921
227	2335	7907
228	2345	7897
229	2355	7886
230	2364	7872
231	2375	7864
232	2386	7855
233	2397	7847
234	2409	7842
235	2420	7837
236	2434	7838
237	2448	7838
238	2460	7833
239	2472	7830
240	2487	7835
241	2500	7830
242	2513	7829
243	2525	7824
244	2537	7818
245	2548	7812
246	2561	7808
247	2572	7801
248	2584	7795
249	2596	7789
250	2607	7780
251	2618	7773
252	2630	7767
253	2642	7761
254	2652	7748
255	2661	7735
256	2671	7723
257	2682	7713
258	2691	7699
259	2702	7692
260	2712	7680
261	2722	7669
262	2731	7655
263	2741	7642
264	2751	7631
265	2761	7619
266	2770	7607
267	2781	7595
268	2790	7583
269	2800	7570
270	2809	7557
271	2818	7543
272	2828	7532
273	2839	7522
274	2849	7512
275	2860	7504
276	2870	7491
277	2880	7480
278	2890	7469
279	2900	7459
280	2911	7449
281	2921	7438
282	2932	7429
283	2942	7417
284	2951	7404
285	2961	7392
286	2970	7378
287	2980	7368
288	2989	7354
289	2999	7344
290	3009	7333
291	3019	7322
292	3031	7314
293	3041	7303
294	3050	7291
295	3060	7280
296	3069	7266
297	3080	7256
298	3090	7245
299	3099	7232
300	3112	7227
301	3121	7214
302	3131	7202
303	3140	7190
304	3150	7180
305	3161	7170
306	3171	7159
307	3181	7148
308	3191	7137
309	3201	7126
310	3211	7114
311	3220	7102
312	3230	7091
313	3241	7081
314	3250	7069
315	3261	7060
316	3271	7048
317	3280	7036
318	3291	7026
319	3301	7014
320	3310	7003
321	3320	6991
322	3329	6978
323	3340	6968
324	3349	6956
325	3361	6949
326	3372	6940
327	3382	6930
328	3392	6919
329	3403	6909
330	3413	6899
331	3423	6887
332	3433	6877
333	3442	6864
334	3453	6854
335	3464	6846
336	3474	6836
337	3484	6824
338	3494	6813
339	3504	6803
340	3514	6791
341	3524	6781
342	3534	6770
343	3543	6757
344	3553	6746
345	3563	6736
346	3574	6726
347	3584	6716
348	3594	6705
349	3604	6694
350	3615	6685
351	3624	6672
352	3635	6663
353	3644	6651
354	3655	6641
355	3665	6630
356	3675	6619
357	3684	6607
358	3694	6597
359	3705	6587
360	3715	6576
361	3725	6565
362	3735	6554
363	3745	6545
364	3755	6533
365	3767	6525
366	3777	6514
367	3786	6502
368	3796	6492
369	3806	6480
370	3816	6470
371	3826	6459
372	3836	6449
373	3846	6437
374	3857	6428
375	3866	6417
376	3877	6408
377	3888	6398
378	3898	6387
379	3908	6377
380	3918	6365
381	3928	6355
382	3937	6343
383	3947	6332
384	3957	6321
385	3967	6310
386	3978	6302
387	3988	6291
388	3997	6279
389	4007	6267
390	4016	6255
391	4026	6245
392	4037	6235
393	4047	6224
394	4057	6215
395	4067	6203
396	4077	6193
397	4086	6181
398	4097	6171
399	4107	6161
400	4117	6150
401	4127	6140
402	4137	6129
403	4147	6118
404	4158	6109
405	4168	6098
406	4177	6087
407	4188	6077
408	4198	6067
409	4208	6055
410	4218	6045
411	4228	6034
412	4238	6023
413	4247	6012
414	4258	6003
415	4268	5992
416	4279	5982
417	4289	5972
418	4300	5963
419	4310	5953
420	4320	5942
421	4330	5931
422	4340	5921
423	4351	5910
424	4361	5901
425	4372	5892
426	4384	5883
427	4392	5870
428	4403	5861
429	4414	5851
430	4424	5840
431	4433	5829
432	4444	5819
433	4455	5811
434	4465	5800
435	4475	5789
436	4485	5779
437	4495	5767
438	4506	5758
439	4515	5747
440	4525	5736
441	4535	5726
442	4545	5715
443	4555	5704
444	4565	5693
445	4575	5683
446	4585	5672
447	4595	5661
448	4604	5650
449	4615	5641
450	4625	5630
451	4635	5619
452	4644	5608
453	4654	5598
454	4665	5588
455	4675	5577
456	4685	5567
457	4697	5558
458	4707	5548
459	4716	5537
460	4727	5526
461	4737	5517
462	4747	5506
463	4758	5496
464	4768	5485
465	4778	5476
466	4789	5466
467	4799	5456
468	4809	5445
469	4820	5435
470	4831	5426
471	4843	5417
472	4852	5406
473	4863	5396
474	4872	5385
475	4881	5374
476	4892	5363
477	4902	5354
478	4913	5343
479	4923	5334
480	4935	5324
481	4945	5314
482	4954	5303
483	4964	5293
484	4975	5283
485	4984	5272
486	4994	5260
487	5003	5249
488	5013	5239
489	5024	5229
490	5034	5219
491	5045	5209
492	5055	5199
493	5064	5187
494	5074	5177
495	5084	5166
496	5094	5155
497	5105	5146
498	5114	5134
499	5124	5124
500	5135	5114
501	5145	5104
502	5155	5094
503	5165	5083
504	5175	5073
505	5185	5062
506	5195	5052
507	5206	5042
508	5216	5031
509	5225	5020
510	5236	5011
511	5246	5000
512	5256	4990
513	5266	4980
514	5276	4969
515	5286	4958
516	5296	4948
517	5306	4937
518	5316	4927
519	5326	4916
520	5337	4906
521	5347	4896
522	5357	4885
523	5367	4876
524	5377	4865
525	5387	4854
526	5397	4843
527	5406	4833
528	5417	4823
529	5427	4813
530	5436	4801
531	5446	4791
532	5455	4780
533	5465	4769
534	5476	4759
535	5485	4749
536	5496	4738
537	5506	4728
538	5516	4718
539	5527	4708
540	5537	4697
541	5547	4688
542	5557	4677
543	5568	4668
544	5578	4657
545	5588	4646
546	5598	4636
547	5608	4626
548	5617	4614
549	5627	4604
550	5637	4593
551	5647	4583
552	5657	4573
553	5668	4563
554	5679	4553
555	5688	4543
556	5698	4532
557	5708	4521
558	5718	4511
559	5728	4500
560	5737	4490
561	5747	4479
562	5757	4468
563	5768	4459
564	5778	4448
565	5788	4438
566	5798	4428
567	5808	4417
568	5817	4406
569	5827	4396
570	5837	4386
571	5847	4375
572	5857	4364
573	5866	4353
574	5877	4343
575	5887	4333
576	5896	4323
577	5906	4312
578	5915	4301
579	5925	4290
580	5936	4281
581	5946	4270
582	5956	4260
583	5966	4250
584	5976	4239
585	5986	4229
586	5996	4219
587	6007	4209
588	6017	4198
589	6026	4187
590	6036	4177
591	6046	4167
592	6055	4156
593	6065	4145
594	6075	4135
595	6085	4125
596	6095	4114
597	6107	4105
598	6116	4094
599	6126	4084
600	6137	4074
601	6147	4064
602	6157	4054
603	6167	4043
604	6177	4033
605	6186	4022
606	6196	4012
607	6207	4002
608	6217	3991
609	6227	3981
610	6237	3971
611	6247	3960
612	6257	3950
613	6267	3940
614	6277	3929
615	6287	3919
616	6298	3909
617	6309	3900
618	6319	3889
619	6329	3879
620	6339	3868
621	6349	3858
622	6360	3849
623	6369	3837
624	6379	3827
625	6389	3817
626	6399	3807
627	6409	3796
628	6419	3786
629	6430	3776
630	6440	3766
631	6450	3755
632	6459	3745
633	6469	3734
634	6479	3724
635	6489	3714
636	6499	3703
637	6509	3693
638	6519	3683
639	6530	3673
640	6539	3662
641	6549	3652
642	6559	3641
643	6569	3631
644	6579	3621
645	6590	3611
646	6600	3601
647	6610	3590
648	6619	3580
649	6630	3570
650	6640	3559
651	6650	3549
652	6660	3539
653	6670	3529
654	6680	3518
655	6690	3508
656	6700	3498
657	6710	3487
658	6720	3477
659	6730	3467
660	6740	3456
661	6749	3446
662	6759	3435
663	6769	3425
664	6778	3414
665	6788	3404
666	6798	3394
667	6808	3383
668	6818	3373
669	6829	3363
670	6839	3353
671	6850	3343
672	6859	3333
673	6870	3323
674	6880	3312
675	6890	3302
676	6899	3291
677	6908	3281
678	6918	3270
679	6928	3260
680	6939	3250
681	6949	3240
682	6958	3229
683	6968	3219
684	6978	3208
685	6987	3198
686	6997	3188
687	7007	3177
688	7017	3167
689	7026	3157
690	7038	3147
691	7047	3136
692	7058	3126
693	7069	3116
694	7079	3106
695	7089	3096
696	7100	3086
697	7109	3075
698	7119	3065
699	7129	3055
700	7138	3045
701	7149	3035
702	7159	3024
703	7169	3014
704	7179	3004
705	7188	2993
706	7199	2983
707	7209	2973
708	7218	2962
709	7229	2952
710	7239	2942
711	7250	2932
712	7260	2922
713	7269	2912
714	7280	2901
715	7289	2891
716	7299	2881
717	7310	2871
718	7319	2860
719	7330	2850
720	7340	2840
721	7352	2830
722	7362	2820
723	7371	2809
724	7380	2799
725	7390	2789
726	7400	2778
727	7410	2768
728	7420	2758
729	7430	2748
730	7440	2738
731	7449	2727
732	7460	2717
733	7470	2707
734	7481	2697
735	7493	2687
736	7505	2678
737	7516	2668
738	7529	2659
739	7541	2649
740	7553	2640
741	7568	2631
742	7581	2622
743	7594	2613
744	7607	2603
745	7619	2594
746	7630	2584
747	7643	2575
748	7655	2565
749	7669	2556
750	7681	2546
751	7693	2537
752	7705	2527
753	7717	2518
754	7729	2508
755	7741	2498
756	7752	2488
757	7762	2478
758	7773	2468
759	7785	2458
760	7795	2448
761	7807	2438
762	7816	2427
763	7826	2417
764	7836	2407
765	7845	2396
766	7855	2386
767	7865	2376
768	7874	2365
769	7884	2355
770	7895	2345
771	7905	2334
772	7915	2324
773	7924	2313
774	7935	2303
775	7944	2293
776	7954	2282
777	7964	2272
778	7975	2262
779	7985	2252
780	7995	2241
781	8004	2231
782	8014	2221
783	8024	2210
784	8034	2200
785	8044	2190
786	8053	2179
787	8064	2169
788	8073	2159
789	8085	2149
790	8095	2139
791	8105	2128
792	8114	2118
793	8123	2107
794	8134	2097
795	8144	2087
796	8154	2076
797	8164	2066
798	8174	2056
799	8185	2046
800	8195	2036
801	8204	2025
802	8214	2015
803	8224	2005
804	8234	1994
805	8245	1984
806	8255	1974
807	8266	1964
808	8276	1954
809	8286	1943
810	8297	1933
811	8307	1923
812	8316	1913
813	8328	1902
814	8339	1892
815	8350	1883
816	8362	1873
817	8372	1862
818	8381	1852
819	8392	1842
820	8402	1832
821	8413	1821
822	8423	1811
823	8433	1801
824	8443	1791
825	8454	1780
826	8463	1770
827	8474	1760
828	8483	1750
829	8493	1739
830	8503	1729
831	8513	1719
832	8523	1708
833	8532	1698
834	8542	1688
835	8551	1677
836	8561	1667
837	8570	1656
838	8580	1646
839	8591	1636
840	8601	1626
841	8611	1615
842	8620	1605
843	8630	1595
844	8640	1584
845	8650	1574
846	8660	1564
847	8670	1554
848	8679	1543
849	8691	1533
850	8701	1523
851	8711	1513
852	8721	1503
853	8731	1492
854	8741	1482
855	8751	1472
856	8760	1461
857	8771	1451
858	8781	1441
859	8789	1430
860	8799	1420
861	8809	1410
862	8820	1400
863	8831	1390
864	8840	1379
865	8851	1369
866	8861	1359
867	8872	1349
868	8883	1339
869	8893	1328
870	8904	1318
871	8914	1308
872	8924	1298
873	8935	1288
874	8945	1277
875	8955	1267
876	8965	1257
877	8974	1247
878	8985	1236
879	8994	1226
880	9004	1216
881	9016	1206
882	9026	1195
883	9035	1185
884	9046	1175
885	9055	1165
886	9065	1154
887	9074	1144
888	9084	1134
889	9094	1124
890	9104	1113
891	9113	1103
892	9122	1093
893	9133	1082
894	9143	1072
895	9152	1062
896	9161	1052
897	9171	1041
898	9181	1031
899	9190	1021
900	9200	1010
901	9210	1000
902	9219	990
903	9230	980
904	9240	970
905	9250	959
906	9261	949
907	9271	939
908	9282	929
909	9292	919
910	9302	908
911	9313	898
912	9325	888
913	9334	878
914	9345	868
915	9354	857
916	9364	847
